iter	Passed	Remaining
407	5680	8242
408	5693	8226
409	5708	8214
410	5723	8201
411	5736	8187
412	5751	8174
413	5766	8161
414	5781	8149
415	5795	8135
416	5810	8123
417	5826	8112
418	5842	8101
419	5858	8089
420	5873	8078
421	5887	8063
422	5900	8049
423	5914	8035
424	5928	8021
425	5942	8006
426	5954	7990
427	5967	7974
428	5978	7957
429	5991	7941
430	6003	7926
431	6016	7910
432	6028	7894
433	6041	7878
434	6052	7861
435	6065	7845
436	6077	7830
437	6089	7812
438	6103	7799
439	6116	7784
440	6128	7767
441	6141	7753
442	6153	7737
443	6165	7720
444	6178	7705
445	6191	7691
446	6205	7676
447	6219	7663
448	6232	7648
449	6244	7632
450	6257	7617
451	6272	7604
452	6285	7589
453	6299	7575
454	6314	7563
455	6328	7549
456	6344	7538
457	6357	7523
458	6372	7511
459	6387	7497
460	6402	7485
461	6415	7471
462	6429	7457
463	6443	7442
464	6455	7427
465	6467	7410
466	6478	7394
467	6490	7378
468	6503	7362
469	6518	7350
470	6533	7338
471	6546	7323
472	6560	7308
473	6572	7293
474	6584	7277
475	6596	7261
476	6610	7248
477	6623	7233
478	6637	7218
479	6650	7204
480	6663	7190
481	6677	7175
482	6689	7160
483	6702	7145
484	6716	7132
485	6732	7120
486	6746	7106
487	6759	7092
488	6772	7076
489	6786	7063
490	6799	7049
491	6813	7034
492	6826	7019
493	6839	7005
494	6851	6989
495	6863	6974
496	6875	6959
497	6889	6945
498	6903	6931
499	6918	6918
500	6931	6903
501	6945	6889
502	6958	6875
503	6970	6859
504	6983	6844
505	6996	6830
506	7008	6814
507	7020	6798
508	7032	6783
509	7045	6769
510	7057	6753
511	7069	6737
512	7081	6722
513	7093	6706
514	7106	6692
515	7119	6678
516	7132	6663
517	7144	6648
518	7157	6633
519	7169	6618
520	7182	6603
521	7195	6588
522	7209	6574
523	7223	6561
524	7236	6547
525	7248	6532
526	7261	6517
527	7274	6503
528	7287	6488
529	7301	6475
530	7315	6461
531	7328	6447
532	7342	6433
533	7354	6417
534	7367	6403
535	7381	6389
536	7394	6375
537	7406	6360
538	7420	6347
539	7434	6332
540	7447	6318
541	7460	6304
542	7472	6289
543	7485	6274
544	7499	6261
545	7513	6247
546	7526	6233
547	7540	6219
548	7554	6206
549	7568	6192
550	7581	6177
551	7593	6162
552	7607	6149
553	7620	6134
554	7633	6120
555	7646	6106
556	7660	6092
557	7674	6078
558	7690	6066
559	7704	6053
560	7718	6039
561	7731	6025
562	7747	6013
563	7762	6000
564	7775	5986
565	7790	5973
566	7805	5960
567	7820	5948
568	7836	5935
569	7850	5922
570	7864	5908
571	7877	5893
572	7892	5881
573	7907	5868
574	7921	5854
575	7933	5840
576	7946	5825
577	7958	5810
578	7970	5795
579	7983	5781
580	7996	5766
581	8008	5751
582	8021	5737
583	8034	5723
584	8049	5710
585	8062	5696
586	8076	5682
587	8092	5670
588	8106	5656
589	8121	5644
590	8135	5630
591	8149	5616
592	8163	5602
593	8176	5588
594	8189	5574
595	8203	5560
596	8217	5547
597	8231	5533
598	8245	5519
599	8259	5506
600	8272	5492
601	8287	5479
602	8302	5466
603	8316	5452
604	8329	5438
605	8344	5425
606	8358	5411
607	8371	5397
608	8384	5383
609	8397	5368
610	8410	5354
611	8423	5340
612	8436	5326
613	8449	5312
614	8463	5298
615	8477	5284
616	8490	5270
617	8504	5256
618	8517	5242
619	8529	5227
620	8542	5213
621	8555	5199
622	8567	5184
623	8578	5169
624	8591	5155
625	8605	5141
626	8617	5126
627	8628	5111
628	8640	5096
629	8654	5082
630	8669	5069
631	8683	5056
632	8697	5042
633	8710	5028
634	8724	5014
635	8738	5001
636	8751	4987
637	8763	4972
638	8776	4958
639	8789	4944
640	8802	4929
641	8815	4915
642	8828	4901
643	8842	4888
644	8856	4874
645	8867	4859
646	8881	4845
647	8894	4831
648	8908	4817
649	8920	4803
650	8932	4788
651	8945	4774
652	8958	4760
653	8971	4746
654	8985	4732
655	8998	4718
656	9010	4704
657	9022	4689
658	9035	4675
659	9048	4661
660	9060	4646
661	9072	4631
662	9084	4617
663	9096	4602
664	9107	4587
665	9118	4573
666	9131	4558
667	9144	4544
668	9157	4530
669	9171	4517
670	9184	4503
671	9197	4489
672	9210	4475
673	9223	4461
674	9238	4448
675	9252	4434
676	9265	4420
677	9278	4406
678	9292	4392
679	9304	4378
680	9318	4364
681	9331	4351
682	9343	4336
683	9357	4323
684	9370	4309
685	9384	4295
686	9397	4281
687	9410	4267
688	9424	4254
689	9440	4241
690	9455	4228
691	9468	4214
692	9482	4200
693	9495	4186
694	9509	4173
695	9523	4159
696	9536	4145
697	9550	4131
698	9564	4118
699	9577	4104
700	9591	4091
701	9605	4077
702	9618	4063
703	9635	4051
704	9649	4037
705	9663	4024
706	9677	4010
707	9690	3996
708	9704	3983
709	9718	3969
710	9734	3956
711	9749	3943
712	9763	3930
713	9775	3915
714	9789	3902
715	9801	3887
716	9815	3874
717	9830	3861
718	9844	3847
719	9858	3833
720	9872	3820
721	9884	3805
722	9897	3792
723	9910	3778
724	9923	3764
725	9936	3750
726	9951	3736
727	9965	3723
728	9980	3710
729	9992	3695
730	10007	3682
731	10023	3669
732	10036	3656
733	10050	3642
734	10064	3628
735	10078	3615
736	10091	3601
737	10105	3587
738	10118	3573
739	10130	3559
740	10143	3545
741	10157	3531
742	10170	3517
743	10184	3504
744	10197	3490
745	10212	3477
746	10227	3463
747	10241	3450
748	10254	3436
749	10267	3422
750	10281	3408
751	10294	3394
752	10305	3380
753	10317	3366
754	10330	3352
755	10344	3338
756	10358	3325
757	10372	3311
758	10385	3297
759	10398	3283
760	10414	3270
761	10428	3257
762	10442	3243
763	10456	3229
764	10469	3216
765	10482	3202
766	10496	3188
767	10510	3174
768	10522	3160
769	10534	3146
770	10547	3132
771	10560	3119
772	10574	3105
773	10588	3091
774	10603	3078
775	10617	3064
776	10632	3051
777	10646	3038
778	10659	3024
779	10672	3010
780	10685	2996
781	10700	2982
782	10714	2969
783	10728	2955
784	10742	2942
785	10756	2928
786	10769	2914
787	10782	2900
788	10795	2886
789	10807	2872
790	10820	2859
791	10833	2845
792	10847	2831
793	10860	2817
794	10873	2803
795	10885	2789
796	10897	2775
797	10909	2761
798	10921	2747
799	10932	2733
800	10945	2719
801	10957	2705
802	10971	2691
803	10984	2677
804	10997	2663
805	11013	2650
806	11029	2637
807	11044	2624
808	11056	2610
809	11069	2596
810	11081	2582
811	11093	2568
812	11105	2554
813	11117	2540
814	11129	2526
815	11140	2512
816	11153	2498
817	11167	2484
818	11180	2470
819	11193	2457
820	11206	2443
821	11219	2429
822	11231	2415
823	11244	2401
824	11256	2387
825	11269	2373
826	11282	2360
827	11296	2346
828	11308	2332
829	11319	2318
830	11332	2304
831	11344	2290
832	11357	2277
833	11370	2263
834	11384	2249
835	11397	2235
836	11410	2222
837	11428	2209
838	11441	2195
839	11455	2181
840	11468	2168
841	11480	2154
842	11492	2140
843	11506	2126
844	11519	2112
845	11532	2099
846	11545	2085
847	11558	2071
848	11571	2058
849	11585	2044
850	11598	2030
851	11609	2016
852	11621	2002
853	11638	1989
854	11654	1976
855	11667	1962
856	11680	1949
857	11693	1935
858	11707	1921
859	11720	1907
860	11734	1894
861	11747	1880
862	11760	1867
863	11774	1853
864	11787	1839
865	11804	1826
866	11824	1813
867	11854	1802
868	11874	1790
869	11887	1776
870	11899	1762
871	11913	1748
872	11926	1734
873	11937	1721
874	11950	1707
875	11963	1693
876	11975	1679
877	11987	1665
878	11999	1651
879	12011	1637
880	12024	1624
881	12039	1610
882	12052	1597
883	12064	1583
884	12076	1569
885	12088	1555
886	12100	1541
887	12111	1527
888	12124	1513
889	12136	1500
890	12149	1486
891	12163	1472
892	12174	1458
893	12187	1445
894	12201	1431
895	12215	1417
896	12229	1404
897	12249	1391
898	12265	1378
899	12279	1364
900	12292	1350
901	12306	1337
902	12319	1323
903	12332	1309
904	12345	1295
905	12358	1282
906	12373	1268
907	12385	1254
908	12397	1241
909	12409	1227
